ISBN	LCCN	LCCN Source	Classification	Date
9780814739891	BM652.9 .S25 2006	UCB	BM	2026-04-10
9781932361612	G154.5.P68 A3 2008	Library of Congress	G	2026-04-10
9780300120486	DG261 .G584 2006	Library of Congress	DG	2026-04-10
9780309114301	RA643.83 .M48 2008	Library of Congress	RA	2026-04-10
9780309113830	QP82.2.R3 N3718 2008	Library of Congress	QP	2026-04-10
9781558615731	E184.37 .Z66 2008	Library of Congress	E	2026-04-10
9781604730883	PS3563.O88456 Z66 2008	Library of Congress	PS	2026-04-10
9780814794135	BV4468.2.H57 W55 2008	Library of Congress	BV	2026-04-10
9780306816215	D56.52.H45 M38 2008	Library of Congress	D	2026-04-10
9780470245880	HD30.29 .B364 2008	Library of Congress	HD	2026-04-10
9780470247792	HG6024.3 .S55 2008	Library of Congress	HG	2026-04-10
9780470168363	HF5438.3 .Z45 2008	Library of Congress	HF	2026-04-10
9780470237908	HF5438.25 .P673 2008	Library of Congress	HF	2026-04-10
9780470228043	HG4521 .J6632 2008	Library of Congress	HG	2026-04-10
9780470642160	LC4007 .E53 2014	Library of Congress	LC	2026-04-10
9780814791158	GV867.64 .B67 2008	UCB	GV	2026-04-10
9780801891090	JC211.W37 M67 2009	Library of Congress	JC	2026-04-10
9780801884252	E176.1 .W347 2006	Library of Congress	E	2026-04-10
9783110203004	QA242.5 .A49 2009	Library of Congress	QA	2026-04-10
9780313342943	LA1430.2 .O36 2008	Library of Congress	LA	2026-04-10
9780313333989	HC110.P6 L375 2008	Library of Congress	HC	2026-04-10
9780313338694	HQ1412 .D86 2008	Library of Congress	HQ	2026-04-10
9780275978853	RA395.A3 S763 2003	Library of Congress	RA	2026-04-10
9780275977382	HD8284 .A44 2003	Library of Congress	HD	2026-04-10
9780275978020	HD75.6 .A245 2003	Library of Congress	HD	2026-04-10
9780275978310	JL1298.A3 A73 2003	Library of Congress	JL	2026-04-10
9780275990299	BX1793 .C565 2008	Library of Congress	BX	2026-04-10
9780313377822	KZ4129 .S77 2009	Library of Congress	KZ	2026-04-10
9780801893872	RA445 .S66 2009	Library of Congress	RA	2026-04-10
9780814737361	KZ6495 .G83 2009	Library of Congress	KZ	2026-04-10
9780814764473	HV875.5 .I573 2009	UCB	HV	2026-04-10
9780470682852	HD31 .O844 2009	Library of Congress	HD	2026-04-10
9780470560587	HD62.5 .M48 2010	Library of Congress	HD	2026-04-10
9780470432389	HC102.5.B46 A3 2010	Library of Congress	HC	2026-04-10
9780470679401	HD57.7 C7654 2010	Library of Congress	HD	2026-04-10
9781607521518	HD58.8 .P733 2009	Library of Congress	HD	2026-04-10
9783110221671	BS1181.2 .Y67 2010	Library of Congress	BS	2026-04-10
9780262013727	PR468.S34 G65 2010	Library of Congress	PR	2026-04-10
9780262014076	RA395.A3 B285 2010	OpenLibrary	RA	2026-04-10
9788763002288	HD2902.5 .N49 2010	UCB	HD	2026-04-10
9780465015399	JC480 .K36 2010	Library of Congress	JC	2026-04-10
9781594034824	QC903.2.U6 S64 2010	Library of Congress	QC	2026-04-10
9780814727584	KF8902.E42 F447 2009	Library of Congress	KF	2026-04-10
9781591144076	E457.5.S972 J36 2008	Library of Congress	E	2026-04-10
9788763002332	HD57.7 .K5417 2009	Library of Congress	HD	2026-04-10
9780814727638	F128.7 .F74 2009	UCB	F	2026-04-10
9780801893094	HD9970.5.C673 F866 2009	Library of Congress	HD	2026-04-10
9780470376232	RC341 .S346 2009	Library of Congress	RC	2026-04-10
9780632037414	QH352 .M39 1994	Library of Congress	QH	2026-04-10
9780814776049	BM720.S4 P37 2009	Library of Congress	BM	2026-04-10
9781282187665	PJ3075 .S45 2009	UCB	PJ	2026-04-10
9780632036417	QC879.6 .B566 1995	Library of Congress	QC	2026-04-10
9780713665413	QL672.73.A35 R43 2010	UCB	QL	2026-04-10
9780812696592	ML420.B874 J56 2009	Library of Congress	ML	2026-04-10
9780465013746	CB251 .W44 2009	Library of Congress	CB	2026-04-10
9780470721995	HF5548.37 .L33 2009	Library of Congress	HF	2026-04-10
9780814707234	KF4749.A2 W4 2009	Library of Congress	KF	2026-04-10
9782869781849	HC815 .A674 2008	Library of Congress	HC	2026-04-10
9780801890482	HG3881 .W565 2008	Library of Congress	HG	2026-04-10
9780874808797	E78.C15 E72 2008	Library of Congress	E	2026-04-10
9780814767429	PN6014 .W695 2007	Library of Congress	PN	2026-04-10
9780814722404	HG9999.3 .E18 2007	Library of Congress	HG	2026-04-10
9780801885822	JK468.S4 P35 2007	Library of Congress	JK	2026-04-10
9780262122719	QA76.9.S88 L69 2004	UCB	QA	2026-04-10
9780801885143	RC350.N48 C43 2006	Library of Congress	RC	2026-04-10
9780874808469	E99.C37 A74 2007	Library of Congress	E	2026-04-10
9780801883378	QH104.5.C45 L56 2006	Library of Congress	QH	2026-04-10
9780874809534	PS3607.A766 F57 2009	Library of Congress	PS	2026-04-10
9780874809589	JK528 .R48 2010	Library of Congress	JK	2026-04-10
9781282884922	PA4413.E5 S36 2010	UCB	PA	2026-04-10
9780877455707	PS3537.T4753 Z83 1997	OpenLibrary	PS	2026-04-10
9780195079678	E185.61 .F47 1993	OpenLibrary	E	2026-04-10
9780191586804	HF5549.5.C35 C367 2000eb	OpenLibrary	HF	2026-04-10
9780195312942	BJ37.A93 2007	OpenLibrary	BJ	2026-04-10
9780191621192	QP355.2 .L4513 2011	OpenLibrary	QP	2026-04-10
9780191683671	PJ4659.G65 1998	UCB	PJ	2026-04-10
9780195106534	E169.1 .S5558 1995	UCB	E	2026-04-10
9780203079409	PN2041.A57A5313 1991	OpenLibrary	PN	2026-04-10
9780764573057	DS796.S23	OpenLibrary	DS	2026-04-10
9780192800831	PR821.G66 2002	OpenLibrary	PR	2026-04-10
9780803204195	E78.C2 .L397 2004	UCB	E	2026-04-10
9780195084979	RC512 .I49 1998	OpenLibrary	RC	2026-04-10
9780814775240	DD256.5 .R382 2005	Library of Congress	DD	2026-04-10
9780791469279	JQ1729.5.A58 K555 2006	OpenLibrary	JQ	2026-04-10
9781280944727	UG1312.C7 C58 2006	UCB	UG	2026-04-10
9780814707159	HV6431 .A755 2006	Library of Congress	HV	2026-04-10
